province,year,track,score,cumulativeRank,source
山东,2025,综合,399,426429,real:sdzk/一分一段
山东,2025,综合,398,428410,real:sdzk/一分一段
山东,2025,综合,397,430511,real:sdzk/一分一段
山东,2025,综合,396,432610,real:sdzk/一分一段
山东,2025,综合,395,434761,real:sdzk/一分一段
山东,2025,综合,394,436812,real:sdzk/一分一段
山东,2025,综合,393,438829,real:sdzk/一分一段
山东,2025,综合,392,440845,real:sdzk/一分一段
山东,2025,综合,391,442865,real:sdzk/一分一段
山东,2025,综合,390,444821,real:sdzk/一分一段
山东,2025,综合,389,446825,real:sdzk/一分一段
山东,2025,综合,388,448860,real:sdzk/一分一段
山东,2025,综合,387,450895,real:sdzk/一分一段
山东,2025,综合,386,452914,real:sdzk/一分一段
山东,2025,综合,385,454863,real:sdzk/一分一段
山东,2025,综合,384,456917,real:sdzk/一分一段
山东,2025,综合,383,458882,real:sdzk/一分一段
山东,2025,综合,382,460851,real:sdzk/一分一段
山东,2025,综合,381,462841,real:sdzk/一分一段
山东,2025,综合,380,464919,real:sdzk/一分一段
山东,2025,综合,379,466895,real:sdzk/一分一段
山东,2025,综合,378,468835,real:sdzk/一分一段
山东,2025,综合,377,470793,real:sdzk/一分一段
山东,2025,综合,376,472786,real:sdzk/一分一段
山东,2025,综合,375,474698,real:sdzk/一分一段
山东,2025,综合,374,476592,real:sdzk/一分一段
山东,2025,综合,373,478495,real:sdzk/一分一段
山东,2025,综合,372,480476,real:sdzk/一分一段
山东,2025,综合,371,482442,real:sdzk/一分一段
山东,2025,综合,370,484413,real:sdzk/一分一段
山东,2025,综合,369,486276,real:sdzk/一分一段
山东,2025,综合,368,488084,real:sdzk/一分一段
山东,2025,综合,367,490038,real:sdzk/一分一段
山东,2025,综合,366,491983,real:sdzk/一分一段
山东,2025,综合,365,493899,real:sdzk/一分一段
山东,2025,综合,364,495731,real:sdzk/一分一段
山东,2025,综合,363,497513,real:sdzk/一分一段
山东,2025,综合,362,499392,real:sdzk/一分一段
山东,2025,综合,361,501273,real:sdzk/一分一段
山东,2025,综合,360,503122,real:sdzk/一分一段
山东,2025,综合,359,504978,real:sdzk/一分一段
山东,2025,综合,358,506819,real:sdzk/一分一段
山东,2025,综合,357,508645,real:sdzk/一分一段
山东,2025,综合,356,510446,real:sdzk/一分一段
山东,2025,综合,355,512259,real:sdzk/一分一段
山东,2025,综合,354,514026,real:sdzk/一分一段
山东,2025,综合,353,515838,real:sdzk/一分一段
山东,2025,综合,352,517673,real:sdzk/一分一段
山东,2025,综合,351,519457,real:sdzk/一分一段
山东,2025,综合,350,521271,real:sdzk/一分一段
山东,2025,综合,349,523076,real:sdzk/一分一段
山东,2025,综合,348,524929,real:sdzk/一分一段
山东,2025,综合,347,526692,real:sdzk/一分一段
山东,2025,综合,346,528429,real:sdzk/一分一段
山东,2025,综合,345,530167,real:sdzk/一分一段
山东,2025,综合,344,531892,real:sdzk/一分一段
山东,2025,综合,343,533626,real:sdzk/一分一段
山东,2025,综合,342,535368,real:sdzk/一分一段
山东,2025,综合,341,537085,real:sdzk/一分一段
山东,2025,综合,340,538809,real:sdzk/一分一段
山东,2025,综合,339,540531,real:sdzk/一分一段
山东,2025,综合,338,542218,real:sdzk/一分一段
山东,2025,综合,337,543914,real:sdzk/一分一段
山东,2025,综合,336,545674,real:sdzk/一分一段
山东,2025,综合,335,547340,real:sdzk/一分一段
山东,2025,综合,334,549007,real:sdzk/一分一段
山东,2025,综合,333,550632,real:sdzk/一分一段
山东,2025,综合,332,552293,real:sdzk/一分一段
山东,2025,综合,331,553932,real:sdzk/一分一段
山东,2025,综合,330,555478,real:sdzk/一分一段
山东,2025,综合,329,557047,real:sdzk/一分一段
山东,2025,综合,328,558575,real:sdzk/一分一段
山东,2025,综合,327,560192,real:sdzk/一分一段
山东,2025,综合,326,561688,real:sdzk/一分一段
山东,2025,综合,325,563266,real:sdzk/一分一段
山东,2025,综合,324,564796,real:sdzk/一分一段
山东,2025,综合,323,566297,real:sdzk/一分一段
山东,2025,综合,322,567841,real:sdzk/一分一段
山东,2025,综合,321,569358,real:sdzk/一分一段
山东,2025,综合,320,570817,real:sdzk/一分一段
山东,2025,综合,319,572398,real:sdzk/一分一段
山东,2025,综合,318,573924,real:sdzk/一分一段
山东,2025,综合,317,575411,real:sdzk/一分一段
山东,2025,综合,316,576889,real:sdzk/一分一段
山东,2025,综合,315,578348,real:sdzk/一分一段
山东,2025,综合,314,579750,real:sdzk/一分一段
山东,2025,综合,313,581248,real:sdzk/一分一段
山东,2025,综合,312,582650,real:sdzk/一分一段
山东,2025,综合,311,584050,real:sdzk/一分一段
山东,2025,综合,310,585440,real:sdzk/一分一段
山东,2025,综合,309,586815,real:sdzk/一分一段
山东,2025,综合,308,588199,real:sdzk/一分一段
山东,2025,综合,307,589602,real:sdzk/一分一段
山东,2025,综合,306,590999,real:sdzk/一分一段
山东,2025,综合,305,592306,real:sdzk/一分一段
山东,2025,综合,304,593595,real:sdzk/一分一段
山东,2025,综合,303,594861,real:sdzk/一分一段
山东,2025,综合,302,596181,real:sdzk/一分一段
山东,2025,综合,301,597401,real:sdzk/一分一段
山东,2025,综合,300,598692,real:sdzk/一分一段
山东,2025,综合,299,599960,real:sdzk/一分一段
山东,2025,综合,298,601257,real:sdzk/一分一段
山东,2025,综合,297,602502,real:sdzk/一分一段
山东,2025,综合,296,603755,real:sdzk/一分一段
山东,2025,综合,295,605026,real:sdzk/一分一段
山东,2025,综合,294,606299,real:sdzk/一分一段
山东,2025,综合,293,607478,real:sdzk/一分一段
山东,2025,综合,292,608653,real:sdzk/一分一段
山东,2025,综合,291,609799,real:sdzk/一分一段
山东,2025,综合,290,611000,real:sdzk/一分一段
山东,2025,综合,289,612115,real:sdzk/一分一段
山东,2025,综合,288,613266,real:sdzk/一分一段
山东,2025,综合,287,614413,real:sdzk/一分一段
山东,2025,综合,286,615498,real:sdzk/一分一段
山东,2025,综合,285,616657,real:sdzk/一分一段
山东,2025,综合,284,617839,real:sdzk/一分一段
山东,2025,综合,283,618913,real:sdzk/一分一段
山东,2025,综合,282,619961,real:sdzk/一分一段
山东,2025,综合,281,621073,real:sdzk/一分一段
山东,2025,综合,280,622140,real:sdzk/一分一段
山东,2025,综合,279,623202,real:sdzk/一分一段
山东,2025,综合,278,624219,real:sdzk/一分一段
山东,2025,综合,277,625271,real:sdzk/一分一段
山东,2025,综合,276,626320,real:sdzk/一分一段
山东,2025,综合,275,627322,real:sdzk/一分一段
山东,2025,综合,274,628332,real:sdzk/一分一段
山东,2025,综合,273,629319,real:sdzk/一分一段
山东,2025,综合,272,630256,real:sdzk/一分一段
山东,2025,综合,271,631231,real:sdzk/一分一段
山东,2025,综合,270,632108,real:sdzk/一分一段
山东,2025,综合,269,633005,real:sdzk/一分一段
山东,2025,综合,268,633948,real:sdzk/一分一段
山东,2025,综合,267,634835,real:sdzk/一分一段
山东,2025,综合,266,635744,real:sdzk/一分一段
山东,2025,综合,265,636702,real:sdzk/一分一段
山东,2025,综合,264,637576,real:sdzk/一分一段
山东,2025,综合,263,638456,real:sdzk/一分一段
山东,2025,综合,262,639306,real:sdzk/一分一段
山东,2025,综合,261,640136,real:sdzk/一分一段
山东,2025,综合,260,640930,real:sdzk/一分一段
山东,2025,综合,259,641753,real:sdzk/一分一段
山东,2025,综合,258,642566,real:sdzk/一分一段
山东,2025,综合,257,643378,real:sdzk/一分一段
山东,2025,综合,256,644157,real:sdzk/一分一段
山东,2025,综合,255,644960,real:sdzk/一分一段
山东,2025,综合,254,645719,real:sdzk/一分一段
山东,2025,综合,253,646458,real:sdzk/一分一段
山东,2025,综合,252,647210,real:sdzk/一分一段
山东,2025,综合,251,647989,real:sdzk/一分一段
山东,2025,综合,250,648730,real:sdzk/一分一段
山东,2025,综合,249,649444,real:sdzk/一分一段
山东,2025,综合,248,650189,real:sdzk/一分一段
山东,2025,综合,247,650938,real:sdzk/一分一段
山东,2025,综合,246,651580,real:sdzk/一分一段
山东,2025,综合,245,652271,real:sdzk/一分一段
山东,2025,综合,244,652963,real:sdzk/一分一段
山东,2025,综合,243,653661,real:sdzk/一分一段
山东,2025,综合,242,654267,real:sdzk/一分一段
山东,2025,综合,241,654884,real:sdzk/一分一段
山东,2025,综合,240,655519,real:sdzk/一分一段
山东,2025,综合,239,656156,real:sdzk/一分一段
山东,2025,综合,238,656769,real:sdzk/一分一段
山东,2025,综合,237,657445,real:sdzk/一分一段
山东,2025,综合,236,658003,real:sdzk/一分一段
山东,2025,综合,235,658634,real:sdzk/一分一段
山东,2025,综合,234,659204,real:sdzk/一分一段
山东,2025,综合,233,659792,real:sdzk/一分一段
山东,2025,综合,232,660365,real:sdzk/一分一段
山东,2025,综合,231,660915,real:sdzk/一分一段
山东,2025,综合,230,661447,real:sdzk/一分一段
山东,2025,综合,229,662009,real:sdzk/一分一段
山东,2025,综合,228,662503,real:sdzk/一分一段
山东,2025,综合,227,662993,real:sdzk/一分一段
山东,2025,综合,226,663515,real:sdzk/一分一段
山东,2025,综合,225,664006,real:sdzk/一分一段
山东,2025,综合,224,664495,real:sdzk/一分一段
山东,2025,综合,223,664951,real:sdzk/一分一段
山东,2025,综合,222,665421,real:sdzk/一分一段
山东,2025,综合,221,665860,real:sdzk/一分一段
山东,2025,综合,220,666288,real:sdzk/一分一段
山东,2025,综合,219,666693,real:sdzk/一分一段
山东,2025,综合,218,667134,real:sdzk/一分一段
山东,2025,综合,217,667539,real:sdzk/一分一段
山东,2025,综合,216,667960,real:sdzk/一分一段
山东,2025,综合,215,668357,real:sdzk/一分一段
山东,2025,综合,214,668749,real:sdzk/一分一段
山东,2025,综合,213,669154,real:sdzk/一分一段
山东,2025,综合,212,669520,real:sdzk/一分一段
山东,2025,综合,211,669881,real:sdzk/一分一段
山东,2025,综合,210,670256,real:sdzk/一分一段
山东,2025,综合,209,670636,real:sdzk/一分一段
山东,2025,综合,208,670987,real:sdzk/一分一段
山东,2025,综合,207,671320,real:sdzk/一分一段
山东,2025,综合,206,671637,real:sdzk/一分一段
山东,2025,综合,205,671957,real:sdzk/一分一段
山东,2025,综合,204,672318,real:sdzk/一分一段
山东,2025,综合,203,672627,real:sdzk/一分一段
山东,2025,综合,202,672903,real:sdzk/一分一段
山东,2025,综合,201,673176,real:sdzk/一分一段
山东,2025,综合,200,673457,real:sdzk/一分一段
山东,2025,综合,199,673747,real:sdzk/一分一段
山东,2025,综合,198,674028,real:sdzk/一分一段
山东,2025,综合,197,674290,real:sdzk/一分一段
山东,2025,综合,196,674545,real:sdzk/一分一段
山东,2025,综合,195,674774,real:sdzk/一分一段
山东,2025,综合,194,674993,real:sdzk/一分一段
山东,2025,综合,193,675210,real:sdzk/一分一段
山东,2025,综合,192,675441,real:sdzk/一分一段
山东,2025,综合,191,675687,real:sdzk/一分一段
山东,2025,综合,190,675902,real:sdzk/一分一段
山东,2025,综合,189,676109,real:sdzk/一分一段
山东,2025,综合,188,676315,real:sdzk/一分一段
山东,2025,综合,187,676544,real:sdzk/一分一段
山东,2025,综合,186,676725,real:sdzk/一分一段
山东,2025,综合,185,676901,real:sdzk/一分一段
山东,2025,综合,184,677078,real:sdzk/一分一段
山东,2025,综合,183,677241,real:sdzk/一分一段
山东,2025,综合,182,677418,real:sdzk/一分一段
山东,2025,综合,181,677559,real:sdzk/一分一段
山东,2025,综合,180,677740,real:sdzk/一分一段
山东,2025,综合,179,677905,real:sdzk/一分一段
山东,2025,综合,178,678057,real:sdzk/一分一段
山东,2025,综合,177,678196,real:sdzk/一分一段
山东,2025,综合,176,678341,real:sdzk/一分一段
山东,2025,综合,175,678464,real:sdzk/一分一段
山东,2025,综合,174,678606,real:sdzk/一分一段
山东,2025,综合,173,678727,real:sdzk/一分一段
山东,2025,综合,172,678848,real:sdzk/一分一段
山东,2025,综合,171,678969,real:sdzk/一分一段
山东,2025,综合,170,679088,real:sdzk/一分一段
山东,2025,综合,169,679208,real:sdzk/一分一段
