universityId,province,year,track,minScore,minRank,source
A224,山东,2025,综合,519,142100,real:sdzk/投档线
A073,山东,2025,综合,519,142424,real:sdzk/投档线
A110,山东,2025,综合,519,143487,real:sdzk/投档线
B560,山东,2025,综合,519,143679,real:sdzk/投档线
A732,山东,2025,综合,519,144065,real:sdzk/投档线
A107,山东,2025,综合,518,144465,real:sdzk/投档线
A632,山东,2025,综合,518,145370,real:sdzk/投档线
B540,山东,2025,综合,518,145866,real:sdzk/投档线
B332,山东,2025,综合,518,146195,real:sdzk/投档线
A069,山东,2025,综合,518,146200,real:sdzk/投档线
B969,山东,2025,综合,517,147631,real:sdzk/投档线
A066,山东,2025,综合,517,148332,real:sdzk/投档线
B799,山东,2025,综合,517,148362,real:sdzk/投档线
A490,山东,2025,综合,516,149219,real:sdzk/投档线
D291,山东,2025,综合,516,149320,real:sdzk/投档线
A704,山东,2025,综合,516,150192,real:sdzk/投档线
B460,山东,2025,综合,516,150377,real:sdzk/投档线
B075,山东,2025,综合,516,150963,real:sdzk/投档线
A536,山东,2025,综合,515,151441,real:sdzk/投档线
A165,山东,2025,综合,515,151801,real:sdzk/投档线
A207,山东,2025,综合,515,152025,real:sdzk/投档线
A471,山东,2025,综合,515,152455,real:sdzk/投档线
A421,山东,2025,综合,515,152685,real:sdzk/投档线
B116,山东,2025,综合,515,152898,real:sdzk/投档线
A143,山东,2025,综合,515,153028,real:sdzk/投档线
B417,山东,2025,综合,515,153190,real:sdzk/投档线
B392,山东,2025,综合,514,153791,real:sdzk/投档线
B819,山东,2025,综合,514,154038,real:sdzk/投档线
A395,山东,2025,综合,514,154152,real:sdzk/投档线
C050,山东,2025,综合,514,154369,real:sdzk/投档线
D415,山东,2025,综合,514,154736,real:sdzk/投档线
A484,山东,2025,综合,514,154961,real:sdzk/投档线
D618,山东,2025,综合,513,155880,real:sdzk/投档线
Y003,山东,2025,综合,513,157047,real:sdzk/投档线
A394,山东,2025,综合,513,157273,real:sdzk/投档线
A858,山东,2025,综合,513,157396,real:sdzk/投档线
C107,山东,2025,综合,513,157626,real:sdzk/投档线
A075,山东,2025,综合,512,159048,real:sdzk/投档线
